Nombre,Latitud,Longitud
Tasqueña,19.34368,-99.14048
Las Torres,19.34082,-99.14344
Ciudad Jardín,19.33573,-99.14186
La Virgen,19.33171,-99.14062
Xotepingo,19.32749,-99.13931
Nezahualpili,19.32379,-99.13816
Registro Federal,19.31795,-99.13879
Textiplan,19.31257,-99.14058
El Vergel,19.3072,-99.14307
Estadio Azteca,19.30183,-99.1470
Huipulco,19.29749,-99.15069
Xomali,19.28871,-99.14674
Periférico,19.28273,-99.13969
Tepepan,19.27953,-99.13316
La Noria,19.26792,-99.12555
Huichapan,19.26445,-99.11863
Francisco Goita,19.26074,-99.11124
Xochimilco,19.25946,-99.10804
