Numero de Segmento,Estaciones,Distancia del Segmento
1,Tasquena - Las Torres,440.0
2,Las Torres - Ciudad Jard�n,590.0
3,Ciudad Jard�n - La Virgen,470.0
4,La Virgen - Xotepingo,490.0
5,Xotepingo - Nezahualpili,430.0
6,Nezahualpili - Registro Federal,650.0
7,Registro Federal - Textiplan,630.0
8,Textiplan - El Vergel,650.0
9,El Vergel - Estadio Azteca,730.0
10,Estadio Azteca - Huipulco,620.0
11,Huipulco - Xomali,1060.0
12,Xomali - Perif�rico,990.0
13,Perif�rico - Tepepepan,770.0
14,Tepepepan - La Noria,1520.0
15,La Noria - Huichapan,820.0
16,Huichapan - Francisco Goita,880.0
17,Francisco Goita - Xochimilco,360.0
